Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Mean_Training_Loss_epoch10|Std_Training_Loss_epoch1|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9|Std_Training_Loss_epoch10
AMSGrad|2.0959666666666665|1.5107|1.2028|0.9102|0.5985333333333333|0.3255|0.1467|0.06010000000000001|0.018166666666666668|0.006533333333333333|0.04865566085599224|0.07519355025532445|0.06687809805908057|0.09846963999121752|0.13285677752125916|0.10409414008482898|0.029106872040808522|0.026444848269559045|0.008124243554530682|0.003701801363300486
AMSGradCurvature|2.0975333333333332|1.5122333333333333|1.2052|0.9323|0.6273000000000001|0.35813333333333336|0.17356666666666665|0.06713333333333334|0.021166666666666667|0.011999999999999999|0.04816028792826447|0.07952423110809277|0.07077859846026899|0.10109990108798327|0.14362412749952563|0.12780881555406626|0.059896939265152195|0.03337129505028736|0.009451631252505217|0.010886229834061008
Adadelta|2.2814|2.2316000000000003|2.1791|2.1219333333333332|2.0670333333333333|2.014866666666667|1.968766666666667|1.9287333333333334|1.8949|1.8641333333333332|0.006322183167229602|0.01585307541141474|0.024404098016521818|0.034488597149396234|0.03985603258395556|0.04296048572040745|0.04456560706793224|0.04086029042154893|0.04060689596607958|0.03808993742884504
AdadeltaCurvature|2.2548|2.1522666666666663|2.0625999999999998|1.9864333333333333|1.9256|1.8729333333333333|1.8297666666666668|1.7917666666666667|1.7588666666666668|1.7279|0.0019467922333928785|0.0037072002014098284|0.003538361202590666|0.0077565026483159905|0.007522632517942077|0.0107500387596201|0.012711543310445588|0.011365004766093765|0.01324550238131168|0.01496094916774999
Adagrad|1.9566333333333334|1.4752|1.3299666666666667|1.2290666666666668|1.1639|1.1029333333333333|1.0513666666666666|1.0107|0.9739|0.9326666666666666|0.0227027164307124|0.003973663297261149|0.0011846237095944402|0.004200396806652102|0.004161730409336972|0.00532008771857502|0.009660400267759823|0.008741281370599967|0.011217397202559995|0.009235980366660226
AdagradCurvature|1.93|1.3831999999999998|1.2030333333333332|1.0806666666666667|0.9934666666666666|0.9160666666666666|0.8476333333333333|0.7923666666666667|0.7424333333333334|0.6914666666666666|0.02256346604580061|0.003534119409414446|0.009074322747915321|0.013712889313829229|0.014846323899650522|0.012330990768520345|0.01998757947659834|0.013040066461998382|0.020173332231769068|0.014353512926574243
Adam|2.0962666666666667|1.5090333333333332|1.1964666666666668|0.9063333333333333|0.6032666666666667|0.3284|0.15406666666666666|0.07|0.020033333333333334|0.006999999999999999|0.04859324370047055|0.07519689709910461|0.06524586832385121|0.09534476038741364|0.13529761022772474|0.11825683912569285|0.03861869150208656|0.0338288338551597|0.01286714161472288|0.004986983055916674
AdamCurvature|2.097633333333333|1.5134999999999998|1.1943666666666666|0.9015000000000001|0.5949|0.32463333333333333|0.14546666666666666|0.06146666666666667|0.020766666666666666|0.016|0.04828139738380961|0.07812995584281353|0.0769655334116079|0.11024831064465346|0.13843153542455564|0.11689680634360092|0.04699599273696997|0.019500085469898162|0.006612362159873986|0.012791794244749249
AdamW|2.0961666666666665|1.5101666666666667|1.1984666666666666|0.9059333333333334|0.6023666666666666|0.3272|0.14793333333333333|0.07476666666666666|0.0204|0.0076|0.04865514703845158|0.07608688016559326|0.0648145302639258|0.09740725503438297|0.13305526420752145|0.10883983645706201|0.04231079452495938|0.03794342279411984|0.004450842616853576|0.0022516660498395407
AdamWCurvature|2.0975333333333332|1.5106666666666666|1.1971333333333334|0.9088666666666666|0.6098333333333333|0.33013333333333333|0.1507666666666667|0.06706666666666666|0.028200000000000003|0.015733333333333332|0.048343079477142684|0.0791698385329497|0.07378226977623643|0.09718154831722606|0.12618083584020723|0.10294048442344407|0.043353931002082534|0.021822083615762575|0.011053053876644228|0.016599497984376918
