Optimizer Name|Mean_Training_Loss_epoch1|Mean_Training_Loss_epoch10|Mean_Training_Loss_epoch2|Mean_Training_Loss_epoch3|Mean_Training_Loss_epoch4|Mean_Training_Loss_epoch5|Mean_Training_Loss_epoch6|Mean_Training_Loss_epoch7|Mean_Training_Loss_epoch8|Mean_Training_Loss_epoch9|Std_Training_Loss_epoch1|Std_Training_Loss_epoch10|Std_Training_Loss_epoch2|Std_Training_Loss_epoch3|Std_Training_Loss_epoch4|Std_Training_Loss_epoch5|Std_Training_Loss_epoch6|Std_Training_Loss_epoch7|Std_Training_Loss_epoch8|Std_Training_Loss_epoch9
AMSGrad|0.38229|0.054110000000000005|0.19563999999999998|0.14118999999999998|0.11287|0.09475|0.08296|0.07267|0.06531|0.05876|0.005516732124485764|0.0027646378103148026|0.005314592071729388|0.003965812232905967|0.0039001566920089546|0.0031570907846025288|0.003359629609214552|0.003007416757876361|0.0027746671472048305|0.002723641353449865
Adadelta|2.12782|0.6752900000000001|1.78443|1.49008|1.26083|1.08826|0.9583400000000001|0.85957|0.78315|0.7232000000000001|0.024038478413669354|0.01492562673167635|0.038741452103801|0.04135549943276389|0.03730311425783813|0.031889294616079325|0.02668795816676712|0.02266784555757829|0.01945606160900335|0.016840625483237476
Adagrad|0.69824|0.31304|0.43924|0.39256|0.36846999999999996|0.35274|0.34125|0.33224|0.32488|0.31861|0.014088939712491595|0.005354997665732467|0.006994474009292367|0.0055090229018704695|0.0049472888198150156|0.0047649647311274685|0.004735973442117724|0.004809296552858179|0.005058941479093116|0.00513364717655328
Adam|0.3821|0.05771|0.19528|0.1412|0.11357999999999999|0.09664|0.08501|0.0753|0.06788000000000001|0.062439999999999996|0.005373598008369766|0.002334975612530269|0.005174467229687622|0.004242902570437158|0.004073164208163803|0.002808795708721683|0.002916409512473249|0.002902489353028614|0.002779208520424475|0.002884903233501374
AdamW|0.38243|0.058699999999999995|0.19519|0.1416|0.11413|0.09725|0.08565|0.07603|0.0693|0.06338|0.00517816998991388|0.0026482698754721583|0.004907465967505249|0.004177452706029251|0.003953915078051688|0.002788567931952011|0.0029923049458383875|0.0029799515283156987|0.0026599916457679985|0.0028169329262712484
HeavyBall|0.77726|0.1978|0.36868|0.32254|0.29565|0.27446000000000004|0.25613|0.23913|0.22388|0.21011000000000002|0.011582860901636809|0.0037458124767680407|0.0016226179121681438|0.0026056349194262278|0.0032132538026119124|0.003837881359986695|0.004110974472203771|0.004283832655721069|0.004216581026798311|0.0039458698519957425
HeavyBallCurvature|0.33452000000000004|0.053259999999999995|0.15764|0.12197|0.10183|0.08857000000000001|0.0792|0.07067|0.06429|0.05887|0.007446222010000925|0.003972181040967571|0.004302505729869005|0.0044098500856353095|0.003482671388460301|0.0044251930278049285|0.004291593850514955|0.0035100015827790004|0.004835390366868011|0.004255728165922047
NAG|0.77726|0.19780999999999999|0.36867|0.32255|0.29565|0.27446000000000004|0.25614|0.23914|0.22388|0.21012|0.011582860901636809|0.0037400089126453573|0.0016337074401495553|0.00258467706987847|0.00319869765164927|0.0038204711751300955|0.004092594938829555|0.004293716339023806|0.004207348069482458|0.0039199773241974534
NAGCurvature|0.33464|0.05351|0.1574|0.12209|0.10172|0.08846000000000001|0.07916|0.07075000000000001|0.06407|0.05865|0.007599736837549059|0.0036957783723835223|0.004947502175621325|0.004219386474621904|0.0039608641032537854|0.004320288056239869|0.004348486326681194|0.0039010682297715917|0.0041931293008126225|0.004385645777863153
NAdam|0.34123000000000003|0.13143|0.16887|0.13740000000000002|0.12632|0.12249000000000002|0.12197|0.12092|0.12473000000000001|0.13025|0.00497729288312878|0.0030430430675741542|0.0043289849977923255|0.0026956755492207646|0.002146211131790672|0.002167666436003883|0.0025144250502517154|0.002763170481731285|0.004248149924117297|0.0024001157379500595
NAdamW|0.34081|0.13328|0.16921|0.13740000000000002|0.12618000000000001|0.12287|0.12161|0.12179|0.12503999999999998|0.12858|0.004495541000690453|0.00499306185287812|0.003909376193489471|0.003160168771864353|0.00239990740562122|0.0030775350887069096|0.0025937745982769337|0.0024415159225366504|0.003687878040885353|0.002995478073511621
RMSProp|0.39966|0.06829|0.21042|0.15572|0.12669000000000002|0.10897000000000001|0.09636|0.08687|0.07933|0.07350999999999999|0.006974429486823029|0.0025141598994495138|0.006448910330004939|0.0047269440445175705|0.003841136984453084|0.0034189179574830395|0.00295115796482217|0.0033129543713529518|0.002598739010451884|0.002732703179393376
RMSPropMomentum|0.3936|0.07026|0.20554|0.15267999999999998|0.12597|0.11012999999999999|0.09829|0.08925999999999999|0.0817|0.07547000000000001|0.009132116707289485|0.004097750060161742|0.0071447261046950665|0.006201756023722449|0.005884641025585165|0.005140482035330497|0.004859458131657613|0.004830964936968828|0.004269270039089429|0.004330781299796454
Shampoo|1.51103|0.12331|0.38730000000000003|0.28420999999999996|0.23752|0.20485000000000003|0.18046|0.16148|0.14628000000000002|0.13371|0.9479429214532558|0.002742444165338644|0.021348484203281917|0.004100799380066706|0.004206555730180109|0.004137162205076212|0.0038973495267082972|0.0037484218901647896|0.0033976462440931084|0.0029471078101156027
SimpleSGDCurvature|0.39651000000000003|0.05067000000000001|0.17593|0.13057000000000002|0.10601000000000001|0.09036000000000001|0.07876999999999999|0.06973|0.06194999999999999|0.05586|0.003512659644454292|0.002117152175289561|0.002540363053668606|0.0021401194151521403|0.0021824807495650937|0.002335808211305029|0.0020412686686905684|0.002187870603527041|0.0015500896031448558|0.0016754435565279747
